user_id,R,F,M,R_score,F_score,M_score,RFM_total,segment
100,5,3,3,2,2,2,6,一般用户
117,5,8,8,2,3,3,8,流失高价值用户
119,5,1,1,2,1,1,4,一般用户
121,8,1,1,1,1,1,3,一般用户
122,1,2,2,4,1,1,6,新用户
1035,5,1,1,2,1,1,4,一般用户
1044,4,1,1,2,1,1,4,一般用户
1072,0,2,2,4,1,1,6,新用户
1095,1,1,1,4,1,1,6,新用户
1105,7,4,4,1,3,3,7,流失高价值用户
1114,3,1,1,3,1,1,5,新用户
1119,4,3,3,2,2,2,6,一般用户
1131,3,2,2,3,1,1,5,新用户
1133,1,1,1,4,1,1,6,新用户
1144,5,1,1,2,1,1,4,一般用户
1149,3,5,5,3,3,3,9,高价值用户
1156,0,4,4,4,3,3,10,高价值用户
1158,0,1,1,4,1,1,6,新用户
1167,8,1,1,1,1,1,3,一般用户
1169,5,1,1,2,1,1,4,一般用户
1189,0,2,2,4,1,1,6,新用户
1192,1,7,7,4,3,3,10,高价值用户
1203,7,1,1,1,1,1,3,一般用户
1234,6,9,9,1,3,3,7,流失高价值用户
1242,5,1,1,2,1,1,4,一般用户
1246,3,1,1,3,1,1,5,新用户
1249,2,23,23,4,3,3,10,高价值用户
1253,2,1,1,4,1,1,6,新用户
1274,4,1,1,2,1,1,4,一般用户
1275,8,1,1,1,1,1,3,一般用户
10008,3,2,2,3,1,1,5,新用户
10009,0,7,7,4,3,3,10,高价值用户
10021,2,1,1,4,1,1,6,新用户
10024,1,3,3,4,2,2,8,潜力用户
10027,2,2,2,4,1,1,6,新用户
10034,0,4,4,4,3,3,10,高价值用户
10035,6,3,3,1,2,2,5,一般用户
10044,5,2,2,2,1,1,4,一般用户
10057,2,5,5,4,3,3,10,高价值用户
10075,4,1,1,2,1,1,4,一般用户
10086,4,2,2,2,1,1,4,一般用户
10111,5,1,1,2,1,1,4,一般用户
10114,3,3,3,3,2,2,7,潜力用户
10128,8,1,1,1,1,1,3,一般用户
10139,4,1,1,2,1,1,4,一般用户
10154,8,1,1,1,1,1,3,一般用户
10156,1,1,1,4,1,1,6,新用户
10170,2,5,5,4,3,3,10,高价值用户
10179,3,1,1,3,1,1,5,新用户
10206,1,1,1,4,1,1,6,新用户
10226,6,1,1,1,1,1,3,一般用户
10230,2,1,1,4,1,1,6,新用户
10236,4,5,5,2,3,3,8,流失高价值用户
10240,2,2,2,4,1,1,6,新用户
10257,1,2,2,4,1,1,6,新用户
10263,4,3,3,2,2,2,6,一般用户
10267,0,3,3,4,2,2,8,潜力用户
10295,8,1,1,1,1,1,3,一般用户
10296,8,1,1,1,1,1,3,一般用户
10297,1,2,2,4,1,1,6,新用户
10299,1,2,2,4,1,1,6,新用户
10301,1,4,4,4,3,3,10,高价值用户
10311,3,1,1,3,1,1,5,新用户
10315,6,1,1,1,1,1,3,一般用户
10365,2,3,3,4,2,2,8,潜力用户
10386,5,2,2,2,1,1,4,一般用户
10396,1,3,3,4,2,2,8,潜力用户
10404,1,1,1,4,1,1,6,新用户
10407,0,3,3,4,2,2,8,潜力用户
10422,7,1,1,1,1,1,3,一般用户
10435,2,1,1,4,1,1,6,新用户
10449,0,1,1,4,1,1,6,新用户
10452,7,1,1,1,1,1,3,一般用户
10458,2,2,2,4,1,1,6,新用户
10465,1,1,1,4,1,1,6,新用户
10469,6,1,1,1,1,1,3,一般用户
10476,0,3,3,4,2,2,8,潜力用户
10485,1,1,1,4,1,1,6,新用户
10487,4,2,2,2,1,1,4,一般用户
10490,1,1,1,4,1,1,6,新用户
10512,0,3,3,4,2,2,8,潜力用户
10514,4,1,1,2,1,1,4,一般用户
10526,0,1,1,4,1,1,6,新用户
10527,0,1,1,4,1,1,6,新用户
10529,4,1,1,2,1,1,4,一般用户
10552,4,1,1,2,1,1,4,一般用户
10608,1,1,1,4,1,1,6,新用户
10618,1,2,2,4,1,1,6,新用户
10622,3,3,3,3,2,2,7,潜力用户
10628,0,2,2,4,1,1,6,新用户
10630,3,1,1,3,1,1,5,新用户
10642,3,1,1,3,1,1,5,新用户
10645,1,1,1,4,1,1,6,新用户
10656,0,2,2,4,1,1,6,新用户
10667,3,1,1,3,1,1,5,新用户
10668,0,4,4,4,3,3,10,高价值用户
10669,5,1,1,2,1,1,4,一般用户
10680,2,1,1,4,1,1,6,新用户
10681,7,9,9,1,3,3,7,流失高价值用户
10683,5,1,1,2,1,1,4,一般用户
10705,3,1,1,3,1,1,5,新用户
10727,6,1,1,1,1,1,3,一般用户
10752,4,1,1,2,1,1,4,一般用户
10757,1,3,3,4,2,2,8,潜力用户
10769,2,1,1,4,1,1,6,新用户
10772,0,5,5,4,3,3,10,高价值用户
10776,2,5,5,4,3,3,10,高价值用户
10777,5,1,1,2,1,1,4,一般用户
10779,0,1,1,4,1,1,6,新用户
10790,3,1,1,3,1,1,5,新用户
10802,1,4,4,4,3,3,10,高价值用户
10809,2,1,1,4,1,1,6,新用户
10836,5,1,1,2,1,1,4,一般用户
10843,3,1,1,3,1,1,5,新用户
10849,3,2,2,3,1,1,5,新用户
10858,3,3,3,3,2,2,7,潜力用户
10871,3,1,1,3,1,1,5,新用户
10877,5,4,4,2,3,3,8,流失高价值用户
10899,0,13,13,4,3,3,10,高价值用户
10923,0,1,1,4,1,1,6,新用户
10926,2,3,3,4,2,2,8,潜力用户
10935,4,1,1,2,1,1,4,一般用户
10960,3,2,2,3,1,1,5,新用户
10968,3,1,1,3,1,1,5,新用户
10969,1,2,2,4,1,1,6,新用户
10983,4,1,1,2,1,1,4,一般用户
10984,0,2,2,4,1,1,6,新用户
10996,5,4,4,2,3,3,8,流失高价值用户
11016,3,2,2,3,1,1,5,新用户
11045,4,2,2,2,1,1,4,一般用户
11058,6,1,1,1,1,1,3,一般用户
11079,0,4,4,4,3,3,10,高价值用户
11096,4,1,1,2,1,1,4,一般用户
11097,6,1,1,1,1,1,3,一般用户
11099,1,3,3,4,2,2,8,潜力用户
11140,1,1,1,4,1,1,6,新用户
11145,3,5,5,3,3,3,9,高价值用户
11158,6,2,2,1,1,1,3,一般用户
11159,2,3,3,4,2,2,8,潜力用户
11162,0,2,2,4,1,1,6,新用户
11179,3,2,2,3,1,1,5,新用户
11189,1,1,1,4,1,1,6,新用户
11190,0,6,6,4,3,3,10,高价值用户
11194,2,3,3,4,2,2,8,潜力用户
11202,1,1,1,4,1,1,6,新用户
11215,2,1,1,4,1,1,6,新用户
11222,7,1,1,1,1,1,3,一般用户
11226,0,3,3,4,2,2,8,潜力用户
11246,0,1,1,4,1,1,6,新用户
11253,4,2,2,2,1,1,4,一般用户
11255,1,1,1,4,1,1,6,新用户
11272,0,3,3,4,2,2,8,潜力用户
11283,2,1,1,4,1,1,6,新用户
11294,0,4,4,4,3,3,10,高价值用户
11295,0,9,9,4,3,3,10,高价值用户
